pairs processed: 1160, usable labeled: 698 (monster=153, regular=545)
rob CASHCOW      gain= 4563.7 skip     t5=07-10 19:14 nD=- cov=- why=window outside tape
rob ilysm        gain= 2892.0 skip     t5=07-10 08:34 nD=- cov=- why=window outside tape
sol LojakPaul    gain=   19.5 regular  t5=07-04 09:37 nD=0 cov=- why=
sol BullWorld    gain=   19.4 regular  t5=07-05 05:56 nD=78 cov=0.07 why=
sol ANSUM        gain=   19.4 regular  t5=07-05 19:39 nD=72 cov=0.15 why=
sol 公牛           gain=   19.4 regular  t5=07-05 22:37 nD=100 cov=0.09 why=
sol BLACKOUT     gain=   19.4 regular  t5=07-05 18:21 nD=100 cov=0.42 why=
rob CASHBANK     gain=   19.3 regular  t5=07-10 20:12 nD=1 cov=- why=
sol SEMAN        gain=   19.3 regular  t5=07-06 04:06 nD=0 cov=- why=
sol TOLY         gain=   19.3 regular  t5=07-05 12:45 nD=99 cov=0.08 why=
sol BLACKOUT     gain=   19.3 regular  t5=07-06 14:16 nD=79 cov=0.52 why=
sol BullWorld    gain=   19.2 skip     t5=07-05 20:58 nD=- cov=- why=window outside tape
sol SEMAN        gain=   19.2 regular  t5=07-04 19:31 nD=0 cov=- why=
sol TOLY         gain=   19.2 regular  t5=07-06 08:07 nD=0 cov=- why=
sol 0x           gain=   19.1 regular  t5=07-05 23:26 nD=98 cov=0.29 why=
sol BABYANSEM    gain=   19.1 regular  t5=07-05 03:59 nD=0 cov=- why=
sol LojakPaul    gain=   19.1 regular  t5=07-03 08:06 nD=0 cov=- why=
sol 公牛           gain=   19.1 regular  t5=07-05 22:49 nD=100 cov=0.01 why=
sol TOLY         gain=   19.1 regular  t5=07-06 08:31 nD=0 cov=- why=
sol BLACKOUT     gain=   19.1 regular  t5=07-05 18:17 nD=69 cov=0.22 why=
sol BullWorld    gain=   19.0 regular  t5=07-05 18:12 nD=61 cov=1.0 why=
sol SEMAN        gain=   19.0 regular  t5=07-05 11:00 nD=80 cov=1.0 why=
sol LojakPaul    gain=   19.0 regular  t5=07-03 03:47 nD=0 cov=- why=
sol Bullmerica25 gain=   19.0 regular  t5=07-05 15:22 nD=121 cov=1.0 why=
sol ACM          gain=   19.0 regular  t5=07-05 10:53 nD=61 cov=0.23 why=
sol BABYANSEM    gain=   18.9 regular  t5=07-03 22:56 nD=60 cov=0.77 why=
sol BABYANSEM    gain=   18.9 regular  t5=07-03 23:47 nD=86 cov=0.61 why=
sol 公牛           gain=   18.9 regular  t5=07-05 18:39 nD=100 cov=0.07 why=
sol ANSUM        gain=   18.8 regular  t5=07-05 01:39 nD=0 cov=- why=
sol ANSUM        gain=   18.8 regular  t5=07-05 20:39 nD=90 cov=0.28 why=
